PING 143.54.48.17 (143.54.48.17) 22(50) bytes of data.
30 bytes from 143.54.48.17: icmp_seq=39 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=40 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=41 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=42 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=43 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=44 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=45 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=46 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=47 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=48 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=50 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=51 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=52 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=53 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=54 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=55 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=56 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=57 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=58 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=59 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=60 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=62 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=63 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=64 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=65 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=66 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=67 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=68 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=69 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=70 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=71 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=73 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=75 ttl=62 time=585 ms
30 bytes from 143.54.48.17: icmp_seq=76 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=77 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=78 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=83 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=85 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=88 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=89 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=90 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=91 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=92 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=93 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=94 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=96 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=97 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=98 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=99 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=100 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=101 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=102 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=103 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=104 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=105 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=106 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=107 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=108 ttl=62 time=572 ms
30 bytes from 143.54.48.17: icmp_seq=111 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=112 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=113 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=114 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=115 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=116 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=117 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=118 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=119 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=120 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=121 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=122 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=123 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=126 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=127 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=128 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=129 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=130 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=131 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=132 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=133 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=135 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=136 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=137 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=140 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=141 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=142 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=143 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=145 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=153 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=154 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=155 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=156 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=157 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=158 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=159 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=160 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=161 ttl=62 time=569 ms

--- 143.54.48.17 ping statistics ---
219 packets transmitted, 134 received, 38.8128% packet loss, time 219918ms
rtt min/avg/max/mdev = 567.906/568.747/585.101/1.553 ms
